"FOLIO","SEXO","OPC_ED01"
270108283,"M","S705000"
270108626,"H","S132313"
270108634,"H","S567060"
270108873,"H","S132313"
270108912,"M","S705000"
270109703,"H","S705000"
270109772,"H","S705000"
270109799,"H","S705000"
270109939,"M","S705000"
270110029,"H","S132302"
270110620,"M","S705000"
270200139,"M","S705000"
270200165,"M","S705000"
270200237,"H","S132313"
270200526,"H","S705000"
270200669,"M","S705000"
270200849,"H","S567060"
270201143,"M","S825000"
270201148,"M","S567060"
270201155,"M","S132313"
270201725,"H","S705000"
270203503,"H","S567060"
270203927,"M","S705000"
270205730,"M","S705000"
270206313,"H","S567087"
270206782,"H","S567060"
270207205,"H","S567060"
270207241,"H","S567060"
270207434,"M","S705000"
270207666,"M","S705000"
270207826,"M","S705000"
270207862,"H","S567060"
270207946,"H","S715000"
270207983,"M","S705000"
270208448,"H","S715000"
270208471,"M","S567060"
270208676,"H","S567087"
270209165,"H","S567060"
270209304,"M","S567060"
270300103,"M","S567060"
270300326,"M","S567060"
270300621,"M","S705000"
270300972,"M","S132313"
270301599,"M","S132302"
270301807,"H","S705000"
270302471,"H","S567087"
270302613,"H","S705000"
270303083,"M","S705000"
270303294,"M","S132313"
270303907,"M","S567060"
270304058,"H","S705000"
270305084,"H","S567060"
270305516,"H","S705000"
270305545,"H","S567087"
270305689,"H","S705000"
270306248,"H","S705000"
270306882,"M","S705000"
270306978,"H","S705000"
270306982,"H","S705000"
270307115,"H","S567060"
270307324,"H","S705000"
270308194,"M","S132313"
270309339,"M","S705000"
270309443,"M","S705000"
270309681,"H","S705000"
270309859,"M","S567087"
270310561,"H","S132313"
270400050,"M","S567060"
270400436,"M","S705000"
270400527,"M","S567087"
270402389,"M","S132313"
270402751,"H","S705000"
270402866,"M","S705000"
270403685,"H","S567060"
270403929,"M","S705000"
270404464,"H","S567060"
270404985,"M","S705000"
270405007,"H","S567060"
270405028,"H","S567060"
270405619,"M","S567087"
270405757,"H","S567060"
270406046,"H","S132313"
270406516,"H","S705000"
270406529,"M","S705000"
270406672,"H","S715000"
270406850,"M","S567060"
270406975,"M","S705000"
270407142,"H","S705000"
270407237,"H","S705000"
270407249,"M","S705000"
270407507,"M","S705000"
270407842,"H","S705000"
270408147,"M","S567087"
270408844,"H","S567060"
270409462,"M","S567060"
270409887,"M","S705000"
270410439,"M","S705000"
270410445,"M","S715000"
270410675,"M","S705000"
270500012,"M","S705000"
270504797,"H","S567087"
270504821,"H","S567060"
270505238,"M","S705000"
270509033,"H","S705000"
270600225,"M","S705000"
270600276,"M","S705000"
270600380,"H","S567060"
270601117,"M","S567060"
270601125,"H","S705000"
270601160,"M","S132313"
270601628,"H","S567060"
270601817,"M","S705000"
270602487,"H","S705000"
270602627,"M","S705000"
270602859,"H","S567060"
270603340,"H","S567060"
270604177,"H","S567060"
270604416,"H","S567060"
270604777,"H","S567060"
270605087,"H","S567060"
270605211,"M","S567087"
270605346,"M","S132313"
270605917,"M","S705000"
270606219,"H","S567060"
270606430,"H","S567060"
270606536,"M","S705000"
270606662,"H","S705000"
270607102,"M","S567060"
270607206,"M","S705000"
270607356,"M","S705000"
270607365,"M","S132313"
270607432,"H","S705000"
270607908,"M","S705000"
270608581,"M","S705000"
270608590,"H","S567060"
270609629,"M","S715000"
270609796,"M","S705000"
270700088,"H","S705000"
270700885,"H","S705000"
270700901,"M","S705000"
270700916,"H","S132313"
270700926,"M","S705000"
270701004,"M","S567087"
270701317,"H","S567060"
270701379,"H","S567060"
270701500,"H","S705000"
270702170,"H","S705000"
270702315,"M","S705000"
270702581,"H","S567087"
270702620,"M","S567060"
270702889,"M","S705000"
270702902,"M","S705000"
270702951,"H","S567060"
270703058,"H","S567060"
270703399,"M","S715000"
270703471,"H","S567060"
270703567,"H","S567060"
270703853,"H","S715000"
270703944,"M","S567060"
270704104,"M","S705000"
270704222,"M","S705000"
270704957,"M","S567060"
270705140,"M","S705000"
270705289,"M","S132313"
270706413,"H","S567060"
270707442,"M","S132313"
270707600,"M","S705000"
270707970,"H","S705000"
270709183,"M","S705000"
270709714,"H","S705000"
270709813,"H","S705000"
270710633,"H","S567060"
270801867,"H","S705000"
270803488,"M","S705000"
270803801,"H","S711000"
270804161,"M","S132313"
270805610,"H","S715000"
270806019,"M","S705000"
270806208,"H","S567060"
270806347,"M","S132313"
270806951,"M","S705000"
270807390,"H","S705000"
270808156,"M","S715000"
270808646,"M","S715000"
270809847,"M","S132313"
270809924,"M","S132313"
270810288,"H","S705000"
270900921,"M","S567060"
270902852,"M","S132313"
270903146,"M","S705000"
270903189,"M","S567060"
270903681,"M","S567087"
270903687,"H","S705000"
270903842,"M","S705000"
270903909,"M","S705000"
270907704,"H","S567060"
270908767,"M","S705000"
270908774,"H","S567087"
270908891,"H","S132313"
270909143,"H","S705000"
270909258,"H","S567060"
270910360,"M","S715000"
280100060,"M","S711000"
280101469,"H","S711000"
280102010,"M","S711000"
280102121,"H","S711000"
280102298,"H","S711000"
280102426,"M","S573013"
280102508,"H","S132313"
280102682,"H","S573013"
280103019,"H","S573087"
280103150,"M","S763000"
280103305,"M","S711000"
280103403,"M","S574087"
280103718,"M","S711000"
280103804,"H","S763000"
280103936,"H","S573013"
280104163,"H","S711000"
280104253,"M","S711000"
280104272,"M","S132313"
280104296,"M","S711000"
280104320,"M","S711000"
280104371,"H","S711000"
280104375,"M","S711000"
280104377,"M","S132313"
280104671,"H","S711000"
280104771,"M","S574087"
280104961,"H","S711000"
280105046,"M","S573013"
280105195,"M","S574087"
280105329,"H","S711000"
280105434,"H","S711000"
280105513,"M","S573087"
280105537,"H","S574087"
280105544,"M","S574087"
280105856,"M","S711000"
280105893,"M","S711000"
280105943,"M","S711000"
280105979,"M","S711000"
280106035,"H","S574015"
280106132,"M","S132313"
280106159,"M","S574015"
280106169,"H","S711000"
280106260,"H","S711000"
280106327,"M","S711000"
280106371,"M","S711000"
280107220,"M","S711000"
280107311,"M","S573013"
280107534,"H","S573013"
280107686,"H","S711000"
280107726,"H","S711000"
280107869,"M","S573013"
280108045,"H","S573087"
280108064,"H","S573013"
280108200,"H","S711000"
280108379,"H","S711000"
280108453,"M","S711000"
280108707,"H","S711000"
280109192,"M","S573013"
280109257,"H","S711000"
280109751,"M","S573087"
280109796,"M","S573013"
280109860,"H","S574015"
280109884,"H","S574087"
280109959,"H","S711000"
280110047,"M","S711000"
280110089,"M","S715000"
280110192,"H","S711000"
280110203,"M","S711000"
280110738,"M","S573087"
280111116,"H","S711000"
280111157,"H","S574087"
280111187,"M","S711000"
280111190,"M","S711000"
280200042,"H","S711000"
280200057,"H","S711000"
280200294,"M","S711000"
280200319,"H","S711000"
280200524,"H","S573013"
280200538,"H","S711000"
280200629,"H","S711000"
280200660,"M","S132313"
280200696,"H","S132302"
280200889,"H","S711000"
280200975,"M","S711000"
280201162,"M","S573087"
280201736,"H","S711000"
280201768,"M","S574087"
280201906,"H","S573087"
280202138,"M","S711000"
280202173,"M","S574087"
280202307,"H","S132302"
280202645,"H","S574087"
280202924,"H","S711000"
280203415,"H","S573087"
280204040,"M","S574087"
280204043,"M","S711000"
280204106,"M","S573013"
280204196,"H","S573013"
280204301,"H","S711000"
280204453,"M","S711000"
280204722,"M","S763000"
280205488,"M","S711000"
280206681,"M","S711000"
280206730,"H","S711000"
280206845,"M","S132313"
280207061,"H","S574087"
280207075,"H","S574015"
280207115,"M","S574015"
280207133,"M","S763000"
280207231,"H","S574087"
280207348,"M","S573013"
280207577,"H","S573013"
280207902,"H","S574087"
280207912,"M","S573013"
280208072,"M","S132313"
280208289,"H","S574087"
280208558,"H","S711000"
280208634,"H","S715000"
280208668,"H","S711000"
280208677,"H","S711000"
280208761,"H","S711000"
280208935,"H","S574015"
280209013,"M","S574015"
280209043,"M","S711000"
280209149,"H","S574087"
280209157,"M","S715000"
280209422,"M","S711000"
280209538,"M","S132313"
280209617,"M","S711000"
280209782,"M","S573087"
280209811,"M","S132302"
280209845,"H","S574087"
280209892,"H","S456076"
280209980,"H","S574015"
280210013,"H","S573087"
280210060,"H","S573087"
280210406,"H","S573013"
280210881,"M","S711000"
280210900,"H","S711000"
280210932,"M","S573013"
280210934,"M","S573013"
280210939,"H","S574015"
280210968,"H","S711000"
280211038,"M","S573013"
280211075,"H","S574015"
280211159,"M","S132313"
280300003,"H","S574087"
280300163,"M","S574087"
280300369,"H","S711000"
280300440,"M","S574087"
280300462,"H","S711000"
280300552,"H","S711000"
280300564,"M","S574087"
280300568,"H","S573087"
280300580,"H","S573013"
280300595,"M","S711000"
280300637,"M","S711000"
280300641,"H","S573087"
280300655,"H","S574015"
280300662,"M","S573013"
280300695,"M","S573013"
280300762,"H","S573013"
280300795,"M","S711000"
280300832,"M","S711000"
280300852,"H","S711000"
280300892,"H","S763000"
280300927,"M","S574087"
280301053,"M","S711000"
280301193,"H","S711000"
280301608,"H","S573013"
280301675,"M","S574087"
280301850,"H","S132313"
280301865,"H","S711000"
280302626,"H","S132302"
280302700,"H","S711000"
280302780,"H","S711000"
280302785,"H","S574015"
280302930,"M","S573013"
280303117,"M","S711000"
280303639,"M","S132313"
280303917,"M","S711000"
280304003,"M","S574087"
280304180,"M","S132313"
280304206,"M","S574087"
280304498,"H","S711000"
280304544,"H","S711000"
280304586,"M","S711000"
280304605,"H","S711000"
280304657,"M","S574087"
280304819,"H","S711000"
280304964,"M","S711000"
280305022,"M","S573087"
280305111,"H","S711000"
280305123,"H","S132313"
280305191,"H","S574015"
280305407,"H","S573087"
280305527,"M","S711000"
280305686,"H","S132313"
280305691,"H","S574015"
280305701,"H","S574015"
280305704,"H","S711000"
280305785,"M","S711000"
280305884,"M","S574087"
280305927,"M","S574087"
280305953,"H","S711000"
280306180,"M","S711000"
280306192,"M","S132302"
280306269,"M","S711000"
280306303,"M","S574087"
280306406,"H","S711000"
280306519,"M","S573013"
280306676,"H","S574087"
280306883,"M","S574087"
280306917,"M","S573013"
280306922,"M","S711000"
280306939,"M","S573013"
280306992,"M","S574015"
280307012,"M","S574087"
280307285,"M","S711000"
280307339,"M","S711000"
280307538,"H","S711000"
280307694,"M","S573013"
280308255,"H","S574087"
280309267,"M","S573013"
280309279,"H","S574015"
280309306,"M","S711000"
280309450,"H","S574015"
280309570,"H","S711000"
280309859,"H","S573013"
280309930,"M","S711000"
280310107,"H","S573013"
280310129,"H","S711000"
280310146,"M","S711000"
280310327,"H","S573013"
280310345,"H","S711000"
280310401,"M","S574015"
280310516,"M","S711000"
280310525,"M","S711000"
280310623,"H","S711000"
280310720,"M","S574015"
280310840,"M","S711000"
280310902,"H","S711000"
280311283,"H","S711000"
280400234,"H","S711000"
280400257,"M","S711000"
280400282,"M","S711000"
280400292,"H","S574087"
280400366,"M","S573087"
280400812,"M","S711000"
280400929,"M","S711000"
280400952,"H","S711000"
280401033,"M","S574087"
280401086,"H","S711000"
280401143,"M","S711000"
280401149,"H","S574015"
280401182,"M","S711000"
280401329,"M","S711000"
280401402,"M","S574015"
280401407,"H","S711000"
280401525,"M","S711000"
280401538,"M","S711000"
280401617,"M","S574087"
280401715,"M","S711000"
280401731,"H","S711000"
280401752,"H","S573013"
280401881,"H","S711000"
280401909,"H","S711000"
280401920,"H","S711000"
280402192,"M","S711000"
280403023,"M","S711000"
280403033,"H","S573013"
280403178,"M","S573087"
280403278,"M","S711000"
280403522,"H","S574087"
280404523,"M","S711000"
280404595,"M","S711000"
280404828,"M","S574087"
280404840,"M","S711000"
280405044,"M","S574087"
280405064,"M","S711000"
280405090,"M","S574087"
280405164,"H","S711000"
280405254,"M","S573013"
280405409,"M","S711000"
280405675,"M","S574087"
280405776,"H","S573013"
280406583,"M","S711000"
280406609,"M","S711000"
280406635,"M","S574087"
