"FOLIO","SEXO","OPC_ED01"
280205388,"H","S132302"
290205454,"H","S132302"
280102799,"H","S132302"
280710838,"H","S132302"
290300694,"H","S132302"
290209145,"H","S132302"
290407212,"H","S132302"
280709073,"H","S132302"
290103033,"H","S132302"
270307212,"H","S132302"
290804342,"H","S132302"
290103736,"H","S132302"
10718159,"H","S132302"
290809320,"H","S132302"
290201572,"H","S132302"
290707458,"H","S132302"
12332220,"H","S132302"
281000746,"H","S132302"
270206518,"H","S132302"
281000670,"H","S132302"
290804040,"H","S132302"
11743929,"H","S132302"
290507538,"H","S132302"
290604177,"H","S132302"
290503057,"H","S132302"
290105052,"H","S132302"
340301128,"H","S132302"
12145913,"H","S132302"
11139258,"H","S132302"
290406895,"H","S132302"
290706744,"H","S132302"
290401589,"H","S132302"
270102386,"H","S132302"
299900317,"H","S132302"
280609173,"H","S132302"
290504149,"H","S132302"
281001874,"H","S132302"
290601489,"H","S132302"
290209118,"H","S132302"
360403731,"H","S132302"
290101686,"H","S132302"
13034722,"H","S132302"
290109551,"H","S132302"
13217934,"H","S132302"
290606616,"H","S132302"
270108210,"H","S132302"
270406879,"H","S132302"
11748046,"H","S132302"
290308443,"H","S132302"
290404329,"H","S132302"
280600692,"H","S132302"
80403358,"H","S132302"
299900133,"H","S132302"
290507712,"H","S132302"
12711011,"H","S132302"
290304884,"H","S132302"
290301091,"H","S132302"
290507406,"H","S132302"
290204544,"H","S132302"
290608790,"H","S132302"
290401795,"H","S132302"
290209185,"H","S132302"
340504757,"H","S132302"
13702220,"H","S132302"
290204426,"H","S132302"
12521262,"H","S132302"
290506088,"H","S132302"
400100293,"H","S132302"
290603844,"H","S132302"
12326501,"H","S132302"
290402438,"H","S132302"
299900019,"H","S132302"
13708993,"H","S132302"
11819675,"H","S132302"
290806976,"H","S132302"
290102585,"H","S132302"
280200607,"H","S132302"
280103802,"H","S132302"
290207193,"H","S132302"
299900125,"H","S132302"
12823243,"H","S132302"
11739085,"H","S132302"
280210063,"H","S132302"
10505083,"H","S132302"
19043093,"H","S132302"
13732377,"H","S132302"
10730746,"H","S132302"
290609131,"H","S132302"
290101913,"H","S132302"
290200540,"H","S132302"
290609636,"H","S132302"
290407101,"H","S132302"
290401439,"H","S132302"
290307731,"H","S132302"
290802591,"H","S132302"
290606487,"H","S132302"
290805478,"H","S132302"
290508453,"H","S132302"
10748980,"H","S132302"
290803172,"H","S132302"
270606640,"H","S132302"
290306522,"H","S132302"
290602109,"H","S132302"
290602928,"H","S132302"
290308793,"H","S132302"
290105811,"H","S132302"
12721001,"H","S132302"
280706509,"H","S132302"
290305139,"H","S132302"
11506357,"H","S132302"
290804441,"H","S132302"
290405450,"H","S132302"
13023302,"H","S132302"
290103415,"H","S132302"
290802307,"H","S132302"
290307473,"H","S132302"
290806549,"M","S132313"
13518671,"M","S132313"
280901345,"M","S132313"
280804775,"M","S132313"
290106628,"M","S132313"
140300118,"M","S132313"
290705245,"M","S132313"
290708969,"M","S132313"
290408488,"M","S132313"
12619006,"M","S132313"
14016233,"M","S132313"
280207091,"M","S132313"
290602818,"M","S132313"
290603182,"M","S132313"
290709410,"M","S132313"
270204657,"M","S132313"
290606335,"M","S132313"
290706506,"M","S132313"
280806981,"M","S132313"
12221315,"M","S132313"
290606170,"M","S132313"
290301628,"M","S132313"
280402404,"M","S132313"
370202124,"M","S132313"
10611356,"M","S132313"
11721325,"M","S132313"
280806193,"M","S132313"
270207168,"M","S132313"
13324994,"M","S132313"
290504058,"M","S132313"
290302702,"M","S132313"
270701040,"M","S132313"
290808493,"M","S132313"
290708537,"M","S132313"
270100448,"M","S132313"
290302144,"M","S132313"
280102958,"M","S132313"
290602188,"M","S132313"
10407005,"M","S132313"
270108441,"M","S132313"
280811065,"M","S132313"
290301961,"M","S132313"
10639807,"M","S132313"
270405591,"M","S132313"
290302622,"M","S132313"
12944889,"M","S132313"
281005833,"M","S132313"
280401073,"M","S132313"
12840694,"M","S132313"
13826084,"M","S132313"
290703670,"M","S132313"
290509042,"M","S132313"
280206833,"M","S132313"
280505113,"M","S132313"
280907602,"M","S132313"
10103113,"M","S132313"
11209035,"M","S132313"
280103214,"M","S132313"
290608075,"M","S132313"
299900395,"M","S132313"
270105941,"M","S132313"
270207266,"M","S132313"
290508719,"M","S132313"
13132167,"M","S132313"
270602393,"M","S132313"
290401566,"M","S132313"
19800615,"M","S132313"
290406092,"M","S132313"
270906453,"M","S132313"
280808198,"M","S132313"
13203337,"M","S132313"
290109380,"M","S132313"
290701283,"M","S132313"
280608718,"M","S132313"
280703748,"M","S132313"
11240031,"M","S132313"
290302981,"M","S132313"
281000657,"M","S132313"
290300590,"M","S132313"
270309510,"M","S132313"
290607747,"M","S132313"
11535149,"M","S132313"
290401424,"M","S132313"
290403165,"M","S132313"
290105040,"M","S132313"
299900138,"M","S132313"
290608550,"M","S132313"
270208712,"M","S132313"
290408033,"M","S132313"
280202607,"M","S132313"
290704830,"M","S132313"
290809148,"M","S132313"
290402613,"M","S132313"
290201513,"M","S132313"
340304866,"M","S132313"
280404979,"M","S132313"
280908126,"M","S132313"
290108847,"M","S132313"
280806605,"M","S132313"
280403040,"M","S132313"
290306099,"M","S132313"
290401318,"M","S132313"
19800255,"M","S132313"
13236843,"M","S132313"
290107850,"M","S132313"
13717107,"M","S132313"
270205394,"M","S132313"
290301470,"M","S132313"
280106317,"M","S132313"
270303109,"M","S132313"
290209589,"M","S132313"
290403489,"M","S132313"
290504483,"M","S132313"
13514921,"M","S132313"
290304024,"M","S132313"
270602472,"M","S132313"
290207883,"M","S132313"
340104407,"M","S132313"
13442681,"M","S132313"
290309473,"M","S132313"
340204571,"M","S132313"
14012785,"M","S132313"
12510659,"M","S132313"
290200602,"M","S132313"
280705507,"M","S132313"
290501104,"M","S132313"
