"","FOLIO","SEXO","OPC_ED01"
"702","011743929","H","S132302"
"703","011744883","H","S724000"
"704","011745125","H","S574087"
"705","011746030","H","S134313"
"706","011746173","M","S134313"
"707","011746669","M","S134313"
"708","011748046","H","S132302"
"709","011807258","H","S464044"
"710","011809791","M","S477070"
"711","011810102","H","S477046"
"712","011811047","H","S574087"
"713","011811137","M","S724000"
"714","011811564","M","S477046"
"715","011812861","H","S477039"
"716","011813805","H","S452069"
"717","011815079","M","S574087"
"718","011815789","M","S711000"
"719","011816688","M","S574087"
"720","011818466","H","S763000"
"721","011818537","H","S458044"
"722","011819675","H","S132302"
"723","011819685","H","S846000"
"724","011820129","H","S473044"
"725","011821171","H","S477039"
"726","011824092","H","S477035"
"727","011824185","M","S458044"
"728","011824287","H","S132313"
"729","011824714","H","S574087"
"730","011824944","M","S458044"
"731","011826148","M","S763000"
"732","011829456","M","S724000"
"733","011829490","H","S715000"
"734","011829697","H","S715000"
"735","011829883","M","S724000"
"736","011830424","H","S825000"
"737","011830898","M","S571086"
"738","011832536","H","S825000"
"739","011835032","M","S134313"
"740","011836739","H","S477039"
"741","011838205","H","S711000"
"742","011840491","M","S464044"
"743","011840708","H","S575094"
"744","011841198","H","S825000"
"745","011842427","M","S705000"
"746","011842543","M","S134313"
"747","011842569","M","S846000"
"748","011844138","M","S458044"
"749","011845229","M","S724000"
"750","011846304","H","S458044"
"751","011849094","M","S711000"
"752","011849592","H","S763000"
"753","011906437","M","S132313"
"754","011908250","H","S763000"
"755","011909259","M","S477039"
"756","011909612","H","S574015"
"757","011910177","H","S477046"
"758","011910451","H","S715000"
"759","011911588","M","S477035"
"760","011912105","H","S477035"
"761","011912886","M","S724000"
"762","011913728","M","S573013"
"763","011913875","M","S574087"
"764","011920832","H","S458044"
"765","011921040","H","S574015"
"766","011922338","H","S477035"
"767","011923359","H","S132313"
"768","011924438","M","S132313"
"769","011924611","H","S846000"
"770","011924745","M","S715000"
"771","011925726","H","S150340"
"772","011927332","M","S054000"
"773","011927385","H","S724000"
"774","011927408","M","S715000"
"775","011930041","H","S477039"
"776","011930833","M","S132313"
"777","011931033","M","S575020"
"778","011931282","H","S574015"
"779","011933270","H","S724000"
"780","011934763","M","S473044"
"781","011935422","M","S464044"
"782","011935754","M","S477046"
"783","011936149","H","S132313"
"784","011937011","M","S458044"
"785","011938915","H","S574015"
"786","011940318","M","S477035"
"787","011940931","H","S573013"
"788","011941357","M","S458044"
"789","011941550","M","S458044"
"790","011941965","M","S132313"
"791","011942108","M","S458044"
"792","011942528","H","S571086"
"793","011942934","M","S573013"
"794","011944585","H","S132313"
"795","011945683","H","S825000"
"796","011947752","M","S705000"
"797","012006935","M","S458044"
"798","012011063","M","S473044"
"799","012014274","M","S715000"
"800","012015983","H","S711000"
"801","012019322","H","S715000"
"802","012021700","M","S715000"
"803","012022386","M","S715000"
"804","012024660","M","S805000"
"805","012027967","H","S132313"
"806","012030690","M","S477046"
"807","012031462","M","S132313"
"808","012031500","M","S473044"
"809","012031899","H","S477046"
"810","012034236","H","S573013"
"811","012035650","H","S458044"
"812","012039924","H","S574015"
"813","012040295","H","S134313"
"814","012041890","M","S477035"
"815","012046034","H","S134313"
"816","012048124","M","S132302"
"817","012106122","H","S458044"
"818","012107859","H","S574087"
"819","012109000","M","S477035"
"820","012109109","M","S132302"
"821","012111989","H","S458044"
"822","012112411","H","S477046"
"823","012112818","M","S825000"
"824","012113029","H","S573013"
"825","012113362","H","S724000"
"826","012113605","M","S724000"
"827","012114537","H","S477046"
"828","012117526","H","S463070"
"829","012118652","H","S571086"
"830","012121353","M","S458044"
"831","012122406","M","S134313"
"832","012122518","H","S477070"
"833","012123382","M","S477070"
"834","012123722","H","S846000"
"835","012124590","M","S574087"
"836","012124982","M","S134313"
"837","012125243","M","S477070"
"838","012125496","M","S458044"
"839","012126196","M","S763000"
"840","012127268","M","S132302"
"841","012127737","M","S473044"
"842","012128719","H","S134306"
"843","012129635","H","S705000"
"844","012130917","M","S715000"
"845","012132462","H","S477070"
"846","012133057","M","S134313"
"847","012133166","H","S574015"
"848","012133834","H","S054000"
